EC	count
2.5.1.31	12788
2.5.1.32	7
2.5.1.39	26394
2.5.1.41	3466
2.5.1.44	2
2.5.1.47	67008
2.5.1.48	10
2.5.1.49	1
2.5.1.54	78476
2.5.1.55	42548
2.5.1.6	74622
2.5.1.61	61796
2.5.1.63	1
2.5.1.65	1
2.5.1.66	0
2.5.1.68	6
2.5.1.7	78264
2.5.1.72	55060
2.5.1.74	24260
2.5.1.75	78200
2.5.1.78	65980
2.5.1.79	2
2.5.1.83	2
2.5.1.84	1
2.5.1.85	1
2.5.1.86	5
2.5.1.87	5
2.5.1.88	1
2.5.1.9	3520
2.5.1.90	3
2.5.1.94	1
2.5.1.96	1476
2.5.1.97	3
2.5.1.98	1
2.5.1.n9	3816
2.6.1.1	516
2.6.1.100	8
2.6.1.101	11
2.6.1.102	3
2.6.1.103	1
2.6.1.104	1
2.6.1.105	1
2.6.1.106	2
2.6.1.107	1
2.6.1.109	1
2.6.1.11	52734
2.6.1.110	1
2.6.1.111	1
2.6.1.112	1
2.6.1.113	1
2.6.1.114	1
2.6.1.117	1
2.6.1.118	404
2.6.1.13	18696
2.6.1.14	1
2.6.1.16	80066
2.6.1.17	4894
2.6.1.18	3
2.6.1.19	7
2.6.1.2	8
2.6.1.21	4970
2.6.1.22	5
2.6.1.29	2832
2.6.1.30	1
2.6.1.33	2
2.6.1.34	1
2.6.1.35	1
2.6.1.36	3494
2.6.1.37	11426
2.6.1.38	1
2.6.1.39	2
2.6.1.42	72616
2.6.1.45	2
2.6.1.48	3
2.6.1.5	2
2.6.1.50	1
2.6.1.51	1
2.6.1.52	53634
2.6.1.57	5
2.6.1.59	3000
2.6.1.62	39982
2.6.1.66	2
2.6.1.76	11004
2.6.1.77	4
2.6.1.78	4
2.6.1.79	462
2.6.1.81	2018
2.6.1.82	2832
2.6.1.83	9940
2.6.1.84	1
2.6.1.85	14
2.6.1.86	1
2.6.1.87	4454
2.6.1.88	1
2.6.1.9	76900
2.6.1.90	1
2.6.1.92	3
2.6.1.93	3
2.6.1.94	1
2.6.1.95	1
2.6.1.98	1
2.6.99.2	39750
2.6.99.3	1
2.7.10.2	12712
2.7.1.100	3600
2.7.1.101	1
2.7.1.103	1
2.7.1.107	21552
2.7.1.11	46110
2.7.11.1	307388
2.7.1.113	3
2.7.1.119	1
2.7.1.12	29014
2.7.1.121	11320
2.7.1.130	43912
2.7.11.32	15410
2.7.11.33	14468
2.7.1.144	15996
2.7.1.148	63960
2.7.1.15	55496
2.7.11.5	10706
2.7.1.156	40498
2.7.1.16	10454
2.7.1.162	1
2.7.1.163	1
2.7.1.165	2
2.7.1.166	4718
2.7.1.167	17080
2.7.1.168	2
2.7.1.17	32876
2.7.1.170	31236
2.7.1.175	14014
2.7.1.176	13136
2.7.1.177	1
2.7.1.179	1
2.7.1.180	67032
2.7.1.181	2
2.7.1.182	1
2.7.1.184	2042
2.7.1.187	1
2.7.1.188	1
2.7.1.189	2178
2.7.1.19	12118
2.7.1.190	478
2.7.1.191	8012
2.7.1.192	14
2.7.1.193	4
2.7.1.194	12
2.7.1.195	1
2.7.1.196	3
2.7.1.197	12368
2.7.1.198	3
2.7.1.199	4236
2.7.1.2	37230
2.7.1.20	154
2.7.1.200	4
2.7.1.201	2
2.7.1.202	3926
2.7.1.204	1
2.7.1.205	4
2.7.1.206	2
2.7.1.207	3178
2.7.1.208	2
2.7.1.209	2
2.7.1.21	38788
2.7.1.210	1
2.7.1.214	2
2.7.1.215	1
2.7.1.217	11
2.7.1.218	3
2.7.1.219	4
2.7.1.22	4
2.7.1.220	1
2.7.1.221	4
2.7.1.223	1
2.7.1.224	1
2.7.1.225	1
2.7.1.23	75746
2.7.1.231	1
2.7.1.24	70326
2.7.1.25	40796
2.7.1.26	73622
2.7.1.29	1
2.7.1.30	56076
2.7.1.31	7
2.7.1.33	75992
2.7.13.3	1579266
2.7.1.35	8566
2.7.1.39	52020
2.7.1.4	14
2.7.1.40	82462
2.7.14.1	6552
2.7.1.45	6
2.7.1.47	1
2.7.1.48	21466
2.7.1.49	10624
2.7.1.5	4416
2.7.1.50	25762
2.7.1.51	2838
2.7.1.53	3
2.7.1.55	550
2.7.1.56	19650
2.7.1.58	2
2.7.1.59	3834
2.7.1.6	18008
2.7.1.60	2408
2.7.1.63	4
2.7.1.66	2
2.7.1.7	1
2.7.1.71	76912
2.7.1.72	2
2.7.1.73	4
2.7.1.74	1
2.7.1.76	3
2.7.1.8	318
2.7.1.83	1
2.7.1.85	3
2.7.1.87	2
2.7.1.89	3432
2.7.1.90	34872
2.7.1.92	2114
2.7.1.95	3870
2.7.2.1	55996
2.7.2.11	57086
2.7.2.15	3700
2.7.2.17	592
2.7.2.2	8678
2.7.2.3	79330
2.7.2.4	112532
2.7.2.7	9822
2.7.2.8	55790
2.7.3.13	1
2.7.3.9	74514
2.7.4.1	81388
2.7.4.16	47544
2.7.4.2	4644
2.7.4.22	67172
2.7.4.23	9964
2.7.4.25	70008
2.7.4.27	15410
2.7.4.28	14468
2.7.4.29	2908
2.7.4.3	85044
2.7.4.33	3
2.7.4.6	54782
2.7.4.7	10624
2.7.4.8	66616
2.7.4.9	68326
2.7.6.1	64992
2.7.6.2	15434
2.7.6.3	76872
2.7.6.5	13350
2.7.7.1	140
2.7.7.101	71544
2.7.7.103	1
2.7.7.104	1
2.7.7.105	4784
2.7.7.106	772
2.7.7.12	31914
2.7.7.13	31368
2.7.7.18	67906
2.7.7.19	17970
2.7.7.2	73996
2.7.7.23	53930
2.7.7.24	61540
2.7.7.27	38256
2.7.7.3	68968
2.7.7.33	3
2.7.7.38	34590
2.7.7.39	3
2.7.7.4	93932
2.7.7.40	1890
2.7.7.41	58872
2.7.7.42	26974
2.7.7.43	3646
2.7.7.46	3
2.7.7.47	3646
2.7.7.49	6
2.7.7.53	2
2.7.7.56	46166
2.7.7.58	2
2.7.7.59	34264
2.7.7.6	335912
2.7.7.60	58950
2.7.7.61	7398
2.7.7.62	40498
2.7.7.65	6400
2.7.7.66	1512
2.7.7.7	443764
2.7.7.70	27482
2.7.7.71	1
2.7.7.72	22188
2.7.7.73	3
2.7.7.74	894
2.7.7.75	6
2.7.7.76	1
2.7.7.77	36202
2.7.7.8	70884
2.7.7.80	5
2.7.7.81	3
2.7.7.82	2
2.7.7.85	42330
2.7.7.87	42028
2.7.7.89	26974
2.7.7.9	70412
2.7.7.90	156
2.7.7.91	2
2.7.7.99	4
2.7.7.n1	35472
2.7.7.n6	2
2.7.8.12	3
2.7.8.13	67498
2.7.8.14	2
2.7.8.20	2316
2.7.8.23	1
2.7.8.24	7166
2.7.8.26	38362
2.7.8.28	2588
2.7.8.31	5
2.7.8.33	5098
2.7.8.34	894
2.7.8.35	4
2.7.8.36	1
2.7.8.37	7
2.7.8.40	2
2.7.8.41	3
2.7.8.42	2
2.7.8.44	3
2.7.8.45	1
2.7.8.46	1
2.7.8.47	1
2.7.8.5	16782
2.7.8.6	1
2.7.8.7	49662
2.7.8.8	33880
2.7.9.1	31902
2.7.9.2	35330
2.7.9.3	24284
2.8.1.1	28768
2.8.1.10	46162
2.8.1.12	28046
2.8.1.13	76128
2.8.1.15	1
2.8.1.2	3
2.8.1.4	24586
2.8.1.6	45356
2.8.1.7	143548
2.8.1.8	58058
2.8.2.22	1276
2.8.2.36	1
2.8.2.37	1142
2.8.3.10	8258
2.8.3.12	2
2.8.3.15	2
2.8.3.16	5482
2.8.3.17	1
2.8.3.18	0
2.8.3.19	2
2.8.3.20	1
2.8.3.21	1706
2.8.3.22	4
2.8.3.23	1
2.8.3.25	2
2.8.3.5	16
2.8.3.6	16296
2.8.3.8	6916
2.8.3.9	2
2.8.4.2	4
2.8.4.3	60472
2.8.4.4	45948
2.8.4.5	78
2.8.5.1	1
2.8.5.2	6120
2.9.1.1	21730
2.9.1.3	7582
3.1.1.1	3868
3.1.1.10	1
3.1.1.101	2
3.1.1.102	1
3.1.1.103	8
3.1.1.106	2076
3.1.1.107	1
3.1.1.108	5
3.1.1.109	1
3.1.1.11	7824
3.1.11.1	15234
3.11.1.1	8990
3.1.1.115	1
3.1.11.2	95160
3.11.1.2	3
3.11.1.3	1
3.1.1.15	1
3.1.11.5	53856
3.1.11.6	126080
3.1.1.17	746
3.1.1.2	4
3.1.12.1	11134
3.1.1.22	970
3.1.1.23	3
3.1.1.24	2
3.1.1.25	2
3.1.1.27	1
3.1.1.29	75146
3.1.1.3	898
3.1.1.31	38146
3.1.13.1	60140
3.1.1.32	15226
3.1.13.5	18234
3.1.1.4	15216
3.1.1.41	2
3.1.1.45	15
3.1.1.5	5
3.1.1.57	2
3.1.1.6	3
3.1.1.61	44724
3.1.1.72	11
3.1.1.73	2
3.1.1.74	1
3.1.1.75	1
3.1.1.76	1
3.1.1.77	5118
3.1.1.81	14
3.1.1.83	1
3.1.1.84	1
3.1.1.85	7030
3.1.1.87	1
3.1.1.88	2
3.1.1.91	1
3.1.1.92	2
3.1.1.95	1
3.1.1.96	53294
3.1.1.99	1
3.1.21.1	7
3.1.2.12	25544
3.1.21.2	25896
3.1.21.3	60646
3.1.2.14	252
3.1.21.4	2392
3.1.21.5	3
3.1.21.7	12156
3.1.2.2	6
3.1.2.20	3
3.1.2.23	3
3.1.22.4	78690
3.1.2.28	3300
3.1.2.29	1
3.1.2.30	4
3.1.2.32	1
3.1.2.6	27286
3.1.26.11	25926
3.1.26.12	23808
3.1.26.3	71354
3.1.26.4	138730
3.1.26.5	58834
3.1.26.8	9148
3.1.30.2	1
3.1.3.1	786
3.1.3.10	5
3.1.3.101	1
3.1.3.103	1
3.1.3.104	6
3.1.3.105	2
3.1.3.11	72296
3.1.31.1	10
3.1.3.12	21422
3.13.1.3	1
3.13.1.4	4
3.1.3.15	46550
3.13.1.5	2
3.1.3.16	108
3.13.1.6	3
3.13.1.7	1
3.1.3.18	20986
3.13.1.8	1
3.1.3.2	10734
3.1.3.22	3
3.1.3.23	11
3.1.3.25	57142
3.1.3.26	1
3.1.3.27	20740
3.1.3.3	39208
3.1.3.37	1202
3.1.3.39	1
3.1.3.4	4
3.1.3.45	20582
3.1.3.48	79144
3.1.3.5	52394
3.1.3.50	3
3.1.3.6	20222
3.1.3.60	1
3.1.3.64	4
3.1.3.68	2
3.1.3.69	1
3.1.3.7	23746
3.1.3.70	1302
3.1.3.71	14270
3.1.3.73	4
3.1.3.74	3
3.1.3.77	6690
3.1.3.78	2
3.1.3.79	1
3.1.3.8	3
3.1.3.81	4
3.1.3.82	2184
3.1.3.83	9
3.1.3.85	4
3.1.3.87	2490
3.1.3.88	1
3.1.3.89	11884
3.1.3.90	1
3.1.3.92	1
3.1.3.97	4
3.1.4.1	5968
3.1.4.12	12
3.1.4.14	2234
3.1.4.16	17348
3.1.4.17	3
3.1.4.3	8774
3.1.4.4	7
3.1.4.41	3
3.1.4.46	8
3.1.4.52	23768
3.1.4.53	24618
3.1.4.55	1
3.1.4.57	1
3.1.4.58	33196
3.1.4.59	5
3.1.5.1	3942
3.1.6.1	6
3.1.6.6	1
3.1.7.12	1
3.1.7.2	14
3.1.8.1	3
3.1.8.2	2
3.2.1.1	21196
3.2.1.10	8
3.2.1.102	1
3.2.1.103	1
3.2.1.11	5
3.2.1.122	6
3.2.1.123	1
3.2.1.131	3892
3.2.1.132	2436
3.2.1.133	3
3.2.1.135	4
3.2.1.136	2
3.2.1.14	16
3.2.1.141	19598
3.2.1.15	5
3.2.1.151	2
3.2.1.156	3
3.2.1.157	2
3.2.1.158	2
3.2.1.162	2
3.2.1.165	2684
3.2.1.169	4
3.2.1.17	37824
3.2.1.172	2
3.2.1.176	2
3.2.1.177	3
3.2.1.178	7
3.2.1.179	1
3.2.1.18	11
3.2.1.180	3
3.2.1.183	1
3.2.1.184	2
3.2.1.185	1
3.2.1.187	1
3.2.1.196	3336
3.2.1.199	1
3.2.1.2	664
3.2.1.20	7
3.2.1.202	1
3.2.1.204	1
3.2.1.205	1
3.2.1.208	1
3.2.1.21	38300
3.2.1.22	65572
3.2.1.23	86920
3.2.1.26	15194
3.2.1.28	11268
3.2.1.3	1940
3.2.1.31	5
3.2.1.32	3
3.2.1.35	1
3.2.1.37	16
3.2.1.38	1
3.2.1.39	3
3.2.1.4	26302
3.2.1.40	21826
3.2.1.41	7812
3.2.1.49	4
3.2.1.52	67502
3.2.1.54	4
3.2.1.55	4420
3.2.1.58	1
3.2.1.60	2
3.2.1.64	2
3.2.1.65	1
3.2.1.67	4
3.2.1.68	3
3.2.1.70	3
3.2.1.72	1
3.2.1.73	1154
3.2.1.74	2
3.2.1.78	2022
3.2.1.8	25302
3.2.1.80	2
3.2.1.81	10
3.2.1.82	1
3.2.1.83	1
3.2.1.85	2554
3.2.1.86	12
3.2.1.89	10472
3.2.1.91	8
3.2.1.93	2
3.2.1.94	1
3.2.1.96	3982
3.2.1.97	3
3.2.1.98	1
3.2.1.99	438
3.2.1.n1	29244
3.2.1.n2	7
3.2.2.10	4
3.2.2.19	3
3.2.2.20	2
3.2.2.21	5
3.2.2.22	462
3.2.2.23	52798
3.2.2.24	1
3.2.2.26	4954
3.2.2.27	91436
3.2.2.28	1956
3.2.2.30	3
3.2.2.31	63344
3.2.2.4	59112
3.2.2.5	9
3.2.2.6	8
3.2.2.8	648
3.2.2.9	9488
3.2.2.n1	13804
3.3.1.1	45292
3.3.2.1	5836
3.3.2.10	7
3.3.2.11	1
3.3.2.12	1
3.3.2.13	2
3.3.2.14	2
3.3.2.15	3
3.3.2.8	1
3.4.11.1	51420
3.4.11.10	51418
3.4.11.18	110242
3.4.11.19	238
3.4.11.2	85172
3.4.11.23	3132
3.4.11.24	1
3.4.11.25	2
3.4.11.4	19680
3.4.11.5	34156
3.4.11.6	1
3.4.11.7	1
3.4.11.9	8
3.4.13.18	2
3.4.13.19	19556
3.4.13.21	2212
3.4.13.22	27140
3.4.13.23	1
3.4.13.9	6028
3.4.14.11	6800
3.4.14.12	2
3.4.14.13	2
3.4.14.5	1
3.4.15.5	2
3.4.15.6	8772
3.4.16.4	190108
3.4.17.11	1
3.4.17.13	8
3.4.17.14	1
3.4.17.18	3
3.4.17.19	17012
3.4.17.6	1
3.4.19.11	3
3.4.19.13	55834
3.4.19.3	13054
3.4.19.5	500
3.4.21.100	1
3.4.21.101	1
3.4.21.102	8
3.4.21.105	3018
3.4.21.107	53350
3.4.21.110	1312
3.4.21.111	1
3.4.21.116	1
3.4.21.12	2
3.4.21.19	12
3.4.21.26	3
3.4.21.4	2
3.4.21.50	4
3.4.21.53	107154
3.4.21.62	572
3.4.21.66	1
3.4.21.72	6
3.4.21.80	1
3.4.21.81	1
3.4.21.82	1
3.4.21.83	2
3.4.21.88	51544
3.4.21.89	125530
3.4.21.92	101318
3.4.21.96	4
3.4.22.10	56
3.4.22.37	4
3.4.22.40	7
3.4.22.47	4
3.4.22.48	8
3.4.22.70	3
3.4.22.71	1
3.4.22.8	1
3.4.23.36	81976
3.4.23.43	23954
3.4.23.48	1
3.4.23.49	2
3.4.23.51	2
3.4.24.13	4
3.4.24.25	1
3.4.24.26	2
3.4.24.27	5
3.4.24.28	10
3.4.24.29	1
3.4.24.3	6334
3.4.24.30	1
3.4.24.31	1
3.4.24.32	2
3.4.24.33	5
3.4.24.40	932
3.4.24.55	6
3.4.24.68	1
3.4.24.69	13
3.4.24.70	3
3.4.24.74	1
3.4.24.75	1470
3.4.24.76	1
3.4.24.77	3954
3.4.24.78	6500
3.4.24.83	1
3.4.24.89	2
3.4.25.1	7554
3.4.25.2	33428
3.5.1.1	524
3.5.1.10	44498
3.5.1.100	1
3.5.1.101	2
3.5.1.103	5720
3.5.1.104	7
3.5.1.105	2690
3.5.1.106	1
3.5.1.107	1
3.5.1.108	41832
3.5.1.11	6
3.5.1.110	3196
3.5.1.111	2
3.5.1.112	2
3.5.1.113	1
3.5.1.115	7762
3.5.1.117	3
3.5.1.118	4324
3.5.1.119	4
3.5.1.124	628
3.5.1.125	1
3.5.1.126	1
3.5.1.128	5
3.5.1.129	1
3.5.1.13	2
3.5.1.130	576
3.5.1.131	1
3.5.1.133	1
3.5.1.134	1
3.5.1.135	3704
3.5.1.14	3
3.5.1.15	922
3.5.1.16	20268
3.5.1.18	37650
3.5.1.19	2
3.5.1.2	163442
3.5.1.23	3802
3.5.1.24	3
3.5.1.25	790
3.5.1.26	1
3.5.1.28	42204
3.5.1.29	1
3.5.1.3	4
3.5.1.32	1
3.5.1.38	6
3.5.1.4	2302
3.5.1.42	6
3.5.1.44	61162
3.5.1.46	2
3.5.1.47	5104
3.5.1.48	1
3.5.1.49	2970
3.5.1.5	78286
3.5.1.52	340
3.5.1.54	1
3.5.1.56	2
3.5.1.59	1
3.5.1.62	4
3.5.1.74	1
3.5.1.76	1
3.5.1.77	3
3.5.1.78	2
3.5.1.79	1
3.5.1.81	1
3.5.1.82	1
3.5.1.83	1
3.5.1.86	1
3.5.1.87	5
3.5.1.88	107142
3.5.1.9	5090
3.5.1.91	1
3.5.1.93	4
3.5.1.94	4
3.5.1.96	10158
3.5.1.97	14
3.5.1.n3	4520
3.5.2.1	802
3.5.2.10	1
3.5.2.12	2
3.5.2.15	958
3.5.2.17	25986
3.5.2.18	1
3.5.2.19	2
3.5.2.2	2
3.5.2.20	1
3.5.2.3	53590
3.5.2.5	3260
3.5.2.6	84838
3.5.2.7	37784
3.5.2.9	28770
3.5.3.1	14488
3.5.3.10	1
3.5.3.11	2464
3.5.3.12	9256
3.5.3.17	1
3.5.3.18	3
3.5.3.22	1
3.5.3.23	11516
3.5.3.24	2
3.5.3.25	1
3.5.3.26	1
3.5.3.3	3
3.5.3.4	10718
3.5.3.6	18220
3.5.3.7	2
3.5.3.8	9212
3.5.3.9	2
3.5.4.1	1
3.5.4.10	61010
3.5.4.11	2
3.5.4.13	21162
3.5.4.16	79616
3.5.4.19	61326
3.5.4.2	39878
3.5.4.23	1
3.5.4.25	53944
3.5.4.26	61222
3.5.4.27	2824
3.5.4.28	9832
3.5.4.3	18934
3.5.4.30	12078
3.5.4.31	9832
3.5.4.32	1
3.5.4.33	62076
3.5.4.4	71966
3.5.4.40	5
3.5.4.42	1
3.5.4.43	1
3.5.4.44	1
3.5.4.45	1
3.5.4.46	1
3.5.4.5	35348
3.5.4.9	78642
3.5.5.1	9
3.5.5.7	3
3.5.5.8	3
3.5.99.10	5
3.5.99.11	1
3.5.99.2	19318
3.5.99.5	3
3.5.99.6	24636
3.5.99.7	6166
3.5.99.8	1
3.5.99.9	1
3.6.1.1	69784
3.6.1.11	19952
3.6.1.12	1848
3.6.1.13	10964
3.6.1.15	4144
3.6.1.17	1210
3.6.1.22	7234
3.6.1.23	62338
3.6.1.25	4
3.6.1.26	7144
3.6.1.27	80872
3.6.1.31	54620
3.6.1.40	4530
3.6.1.41	18220
3.6.1.45	3
3.6.1.54	17614
3.6.1.55	14
3.6.1.57	3
3.6.1.58	2
3.6.1.61	2
3.6.1.63	1
3.6.1.65	1
3.6.1.66	67178
3.6.1.67	4
3.6.1.69	3
3.6.1.7	59714
3.6.1.73	6010
3.6.1.8	5
3.6.1.9	71812
3.6.4.12	724788
3.6.4.13	63312
3.6.5.5	1
3.6.5.n1	67726
3.7.1.11	0
3.7.1.12	2
3.7.1.13	1
3.7.1.14	1414
3.7.1.17	3
3.7.1.18	1
3.7.1.19	1
3.7.1.20	1
3.7.1.21	3
3.7.1.22	1466
3.7.1.23	1
3.7.1.24	4
3.7.1.25	1
3.7.1.3	21288
3.7.1.4	2
3.7.1.7	2
3.7.1.8	86
3.7.1.9	1
3.8.1.10	2
3.8.1.2	9
3.8.1.3	2
3.8.1.5	2244
3.8.1.7	3
3.8.1.8	1
3.8.1.9	2
3.9.1.2	2
4.1.1.1	1
4.1.1.100	4
4.1.1.101	4
4.1.1.102	1
4.1.1.104	5
4.1.1.105	2
4.1.1.11	38328
4.1.1.111	12004
4.1.1.112	26656
4.1.1.114	2
4.1.1.116	1
4.1.1.117	1
4.1.1.12	2
4.1.1.120	1
4.1.1.121	2
4.1.1.15	13024
4.1.1.17	5
4.1.1.18	8
4.1.1.19	22194
4.1.1.2	2
4.1.1.20	63756
4.1.1.21	182
4.1.1.22	918
4.1.1.23	73140
4.1.1.25	4
4.1.1.29	0
4.1.1.31	29344
4.1.1.32	17920
4.1.1.36	61526
4.1.1.37	50908
4.1.1.38	1
4.1.1.39	5892
4.1.1.4	2202
4.1.1.44	2
4.1.1.47	2
4.1.1.48	70262
4.1.1.49	36720
4.1.1.5	10296
4.1.1.50	18990
4.1.1.51	1
4.1.1.55	2
4.1.1.59	1
4.1.1.61	4
4.1.1.63	3
4.1.1.64	1
4.1.1.65	45672
4.1.1.68	3
4.1.1.7	2
4.1.1.71	922
4.1.1.73	4094
4.1.1.74	2
4.1.1.75	1
4.1.1.76	1
4.1.1.77	3
4.1.1.8	3
4.1.1.81	16212
4.1.1.82	2
4.1.1.83	186
4.1.1.85	1106
4.1.1.86	3
4.1.1.87	1
4.1.1.95	1
4.1.1.96	15770
4.1.1.97	13712
4.1.1.98	11114
4.1.2.13	54434
4.1.2.14	27206
4.1.2.17	1998
4.1.2.19	4916
4.1.2.20	2314
4.1.2.21	2
4.1.2.22	1
4.1.2.25	46076
4.1.2.27	3
4.1.2.28	2
4.1.2.29	5
4.1.2.34	1
4.1.2.38	1
4.1.2.4	52738
4.1.2.40	9586
4.1.2.42	1
4.1.2.43	3016
4.1.2.44	1
4.1.2.45	5
4.1.2.48	8710
4.1.2.49	1
4.1.2.50	60502
4.1.2.51	1
4.1.2.52	1654
4.1.2.53	1132
4.1.2.56	2
4.1.2.57	1856
4.1.2.58	1
4.1.2.61	1
4.1.2.62	2
4.1.2.9	2
4.1.3.1	31894
4.1.3.16	2924
4.1.3.17	18256
4.1.3.24	8
4.1.3.25	3
4.1.3.26	1
4.1.3.27	49398
4.1.3.3	3116
4.1.3.30	19360
4.1.3.32	1
4.1.3.34	4640
4.1.3.36	25988
4.1.3.38	4
4.1.3.39	13376
4.1.3.4	5826
4.1.3.40	12214
4.1.3.41	2
4.1.3.43	5040
4.1.3.45	1
4.1.3.46	1
4.1.3.6	12898
4.1.99.1	2844
4.1.99.11	3
4.1.99.12	73502
4.1.99.13	1
4.1.99.14	3
4.1.99.16	1
4.1.99.17	42316
4.1.99.19	2
4.1.99.2	1358
4.1.99.20	2
4.1.99.22	54312
4.1.99.23	8
4.1.99.3	510
4.1.99.5	1114
4.2.1.1	59540
4.2.1.10	75272
4.2.1.100	1
4.2.1.103	1
4.2.1.104	10518
4.2.1.106	1
4.2.1.108	10120
4.2.1.109	10122
4.2.1.11	80492
4.2.1.112	1
4.2.1.113	22078
4.2.1.115	3
4.2.1.117	1
4.2.1.118	8306
4.2.1.119	2
4.2.1.12	19470
4.2.1.120	1
4.2.1.126	26234
4.2.1.127	1
4.2.1.129	4
4.2.1.130	1
4.2.1.131	4
4.2.1.132	1
4.2.1.135	1
4.2.1.136	68358
4.2.1.137	1
4.2.1.138	1
4.2.1.144	1
4.2.1.145	1
4.2.1.147	1
4.2.1.148	3048
4.2.1.149	1688
4.2.1.150	4
4.2.1.151	11568
4.2.1.153	1
4.2.1.154	1
4.2.1.155	1
4.2.1.156	1
4.2.1.157	2
4.2.1.158	1
4.2.1.159	2
4.2.1.162	1
4.2.1.163	0
4.2.1.164	1
4.2.1.167	2
4.2.1.168	2
4.2.1.17	34872
4.2.1.171	2
4.2.1.172	1
4.2.1.175	2
4.2.1.19	57808
4.2.1.2	88328
4.2.1.20	140990
4.2.1.22	8112
4.2.1.24	61298
4.2.1.25	2
4.2.1.28	3
4.2.1.3	94154
4.2.1.30	1
4.2.1.32	16
4.2.1.33	132056
4.2.1.36	346
4.2.1.39	8
4.2.1.40	7478
4.2.1.41	11502
4.2.1.42	2784
4.2.1.43	1
4.2.1.44	2888
4.2.1.45	1
4.2.1.46	64214
4.2.1.47	44582
4.2.1.49	37168
4.2.1.51	65820
4.2.1.53	3
4.2.1.54	2
4.2.1.55	3
4.2.1.59	67956
4.2.1.6	2122
4.2.1.67	1
4.2.1.68	7842
4.2.1.7	2
4.2.1.70	14290
4.2.1.75	26908
4.2.1.77	17
4.2.1.79	8306
4.2.1.8	27314
4.2.1.80	1206
4.2.1.81	2
4.2.1.82	3
4.2.1.83	1
4.2.1.84	12472
4.2.1.85	2
4.2.1.9	64502
4.2.1.90	2764
4.2.1.91	1
4.2.1.96	42878
4.2.1.99	41006
4.2.2.1	6
4.2.2.10	9
4.2.2.12	1
4.2.2.14	1
4.2.2.17	1
4.2.2.19	1
4.2.2.2	3504
4.2.2.20	2
4.2.2.21	3
4.2.2.22	4
4.2.2.23	1174
4.2.2.24	1
4.2.2.25	2
4.2.2.26	2
4.2.2.3	2052
4.2.2.5	1
4.2.2.6	2
4.2.2.7	2
4.2.2.8	5
4.2.2.9	2
4.2.2.n1	46340
4.2.2.n2	1694
4.2.3.1	49590
4.2.3.108	1
4.2.3.118	5
4.2.3.124	8
4.2.3.130	1
4.2.3.146	1
4.2.3.148	1
4.2.3.149	2
4.2.3.150	1
4.2.3.151	1
4.2.3.152	764
4.2.3.153	3432
4.2.3.154	2
4.2.3.155	2
4.2.3.156	3
4.2.3.157	2
4.2.3.158	1
4.2.3.159	1
4.2.3.162	1
4.2.3.163	1
4.2.3.164	1
4.2.3.166	1
4.2.3.169	1
4.2.3.170	1
4.2.3.171	1
4.2.3.175	1
4.2.3.181	1
4.2.3.182	1
4.2.3.187	1
4.2.3.188	1
4.2.3.192	1
4.2.3.193	2
4.2.3.22	1
4.2.3.26	1
4.2.3.3	21974
4.2.3.31	1
4.2.3.36	1
4.2.3.37	1
4.2.3.4	56202
4.2.3.47	1
4.2.3.5	71594
4.2.3.57	1
4.2.3.62	1
4.2.3.7	3
4.2.3.75	1
4.2.3.89	1
4.2.3.90	1
4.2.3.96	1
4.2.3.97	1
4.2.3.98	2
4.2.99.18	531
4.2.99.20	10492
4.2.99.21	5
4.3.1.1	15904
4.3.1.12	6
4.3.1.14	2
4.3.1.15	4
4.3.1.16	1
4.3.1.17	80292
4.3.1.18	10112
4.3.1.19	57444
4.3.1.2	2324
4.3.1.23	6
4.3.1.24	2
4.3.1.27	1
4.3.1.28	1
4.3.1.29	1
4.3.1.3	35454
4.3.1.30	1
4.3.1.32	9476
4.3.1.7	6228
4.3.1.9	1
4.3.2.1	71826
4.3.2.10	127522
4.3.2.2	67508
4.3.2.3	21542
4.3.2.6	1
4.3.2.7	17148
4.3.3.5	1
4.3.3.6	41142
4.3.3.7	82230
4.3.99.3	43494
4.3.99.4	1194
4.4.1.1	2
4.4.1.11	5042
4.4.1.13	20
4.4.1.15	2676
4.4.1.16	2648
4.4.1.19	2
4.4.1.2	7
4.4.1.21	20602
4.4.1.22	2900
4.4.1.23	1
4.4.1.24	4
4.4.1.25	2
4.4.1.28	2
4.4.1.3	7
4.4.1.34	1
4.4.1.37	1
4.4.1.5	18052
4.5.1.3	2
4.5.1.5	0
4.6.1.1	4386
4.6.1.12	60672
4.6.1.13	5496
4.6.1.17	54210
4.6.1.21	1
4.6.1.22	2
4.6.1.24	3
4.7.1.1	7854
4.99.1.1	40148
4.99.1.12	4404
4.99.1.2	1294
4.99.1.3	2226
4.99.1.4	12028
4.99.1.7	1
4.99.1.9	16236
5.1.1.1	79730
5.1.1.10	1480
5.1.1.11	3
5.1.1.12	2
5.1.1.13	4
5.1.1.15	1
5.1.1.17	2
5.1.1.19	1
5.1.1.20	6
5.1.1.21	1
5.1.1.22	2
5.1.1.23	2718
5.1.1.24	1
5.1.1.3	64460
5.1.1.4	2
5.1.1.5	2
5.1.1.7	58946
5.1.1.8	49
5.1.2.1	2
5.1.2.2	1
5.1.2.3	11672
5.1.2.7	1812
5.1.3.1	71786
5.1.3.10	1
