EC	count
1.14.11.55	5542
1.14.11.56	2
1.14.11.57	1
1.14.11.64	2480
1.14.12.1	4
1.14.12.10	2
1.14.12.11	4
1.14.12.12	5
1.14.12.13	2
1.14.12.14	2
1.14.12.15	6
1.14.12.17	26642
1.14.12.18	9
1.14.12.19	1138
1.14.12.22	2
1.14.12.24	1
1.14.12.25	1
1.14.12.3	6
1.14.12.7	2
1.14.13.1	2
1.14.13.10	1
1.14.13.105	1
1.14.13.106	1
1.14.13.107	1
1.14.13.111	4
1.14.13.113	6
1.14.13.114	3
1.14.13.127	2242
1.14.13.128	1
1.14.13.130	1
1.14.13.131	1
1.14.13.149	1
1.14.13.154	1
1.14.13.16	1
1.14.13.160	1
1.14.13.163	2
1.14.13.166	2
1.14.13.167	1
1.14.13.170	2
1.14.13.171	1
1.14.13.172	2
1.14.13.178	1
1.14.13.179	1
1.14.13.180	3
1.14.13.181	3
1.14.13.182	5
1.14.13.189	1
1.14.13.195	2
1.14.13.2	3
1.14.13.20	2
1.14.13.208	1292
1.14.13.209	1
1.14.13.210	1
1.14.13.217	1
1.14.13.218	1
1.14.13.22	1
1.14.13.220	1
1.14.13.222	1
1.14.13.224	1
1.14.13.227	2528
1.14.13.23	1
1.14.13.231	4
1.14.13.232	2
1.14.13.233	1
1.14.13.234	1
1.14.13.236	3
1.14.13.239	3092
1.14.13.24	5
1.14.13.240	3
1.14.13.25	8
1.14.13.29	3
1.14.13.33	1
1.14.13.38	2
1.14.13.50	1
1.14.13.59	11544
1.14.13.69	3
1.14.13.7	10
1.14.13.81	3472
1.14.13.82	2
1.14.13.83	1
1.14.13.84	1
1.14.13.9	4292
1.14.13.92	1
1.14.14.1	3970
1.14.14.10	1
1.14.14.108	1
1.14.14.11	2
1.14.14.12	3
1.14.14.13	2
1.14.14.133	1
1.14.14.154	4
1.14.14.155	1
1.14.14.18	2280
1.14.14.3	626
1.14.14.30	1
1.14.14.35	2
1.14.14.46	1
1.14.14.47	4108
1.14.14.5	12856
1.14.14.51	1
1.14.14.52	1
1.14.14.8	1
1.14.14.84	1
1.14.14.9	8
1.14.15.1	1
1.14.15.11	1
1.14.15.13	1
1.14.15.14	3
1.14.15.15	1
