piece:0	epoch:26	loss:0.09490948	accuracy:0.94536667	lr:5.314410000000002e-05	seqs/sec:667.3	device: cuda:1
piece:0	epoch:26	loss:0.09481622	accuracy:0.94666667	lr:5.314410000000002e-05	seqs/sec:667.3	device: cuda:0
piece:0	epoch:27	loss:0.09481622	accuracy:0.94666667	lr:5.314410000000002e-05	seqs/sec:666.7	device: cuda:0
piece:0	epoch:27	loss:0.09490948	accuracy:0.94536667	lr:5.314410000000002e-05	seqs/sec:666.6	device: cuda:1
piece:0	epoch:28	loss:0.09490948	accuracy:0.94536667	lr:4.782969000000002e-05	seqs/sec:666.0	device: cuda:1
piece:0	epoch:28	loss:0.09481622	accuracy:0.94666667	lr:4.782969000000002e-05	seqs/sec:665.9	device: cuda:0
piece:0	epoch:29	loss:0.09481622	accuracy:0.94666667	lr:4.782969000000002e-05	seqs/sec:667.4	device: cuda:0
piece:0	epoch:29	loss:0.09490948	accuracy:0.94536667	lr:4.782969000000002e-05	seqs/sec:667.4	device: cuda:1
piece:1	epoch:0	loss:0.09490948	accuracy:0.94536667	lr:0.0001	seqs/sec:671.3	device: cuda:1
piece:1	epoch:0	loss:0.09481622	accuracy:0.94666667	lr:0.0001	seqs/sec:671.3	device: cuda:0
piece:1	epoch:1	loss:0.09481622	accuracy:0.94666667	lr:0.0001	seqs/sec:669.0	device: cuda:0
piece:1	epoch:1	loss:0.09490948	accuracy:0.94536667	lr:0.0001	seqs/sec:669.0	device: cuda:1
piece:1	epoch:2	loss:0.09481622	accuracy:0.94666667	lr:0.0001	seqs/sec:667.8	device: cuda:0
piece:1	epoch:2	loss:0.09490948	accuracy:0.94536667	lr:0.0001	seqs/sec:667.8	device: cuda:1
piece:1	epoch:3	loss:0.09490948	accuracy:0.94536667	lr:9e-05	seqs/sec:666.4	device: cuda:1
piece:1	epoch:3	loss:0.09481622	accuracy:0.94666667	lr:9e-05	seqs/sec:666.4	device: cuda:0
piece:1	epoch:4	loss:0.09481622	accuracy:0.94666667	lr:9e-05	seqs/sec:666.9	device: cuda:0
piece:1	epoch:4	loss:0.09490948	accuracy:0.94536667	lr:9e-05	seqs/sec:666.8	device: cuda:1
piece:1	epoch:5	loss:0.09481622	accuracy:0.94666667	lr:9e-05	seqs/sec:666.5	device: cuda:0
piece:1	epoch:5	loss:0.09490948	accuracy:0.94536667	lr:9e-05	seqs/sec:666.5	device: cuda:1
piece:1	epoch:6	loss:0.09481622	accuracy:0.94666667	lr:8.1e-05	seqs/sec:666.9	device: cuda:0
piece:1	epoch:6	loss:0.09490948	accuracy:0.94536667	lr:8.1e-05	seqs/sec:666.8	device: cuda:1
piece:1	epoch:7	loss:0.09490948	accuracy:0.94536667	lr:8.1e-05	seqs/sec:665.5	device: cuda:1
piece:1	epoch:7	loss:0.09481622	accuracy:0.94666667	lr:8.1e-05	seqs/sec:665.5	device: cuda:0
piece:1	epoch:8	loss:0.09481622	accuracy:0.94666667	lr:8.1e-05	seqs/sec:665.9	device: cuda:0
piece:1	epoch:8	loss:0.09490948	accuracy:0.94536667	lr:8.1e-05	seqs/sec:665.9	device: cuda:1
piece:1	epoch:9	loss:0.09490948	accuracy:0.94536667	lr:7.290000000000001e-05	seqs/sec:666.8	device: cuda:1
piece:1	epoch:9	loss:0.09481622	accuracy:0.94666667	lr:7.290000000000001e-05	seqs/sec:666.8	device: cuda:0
piece:1	epoch:10	loss:0.09481622	accuracy:0.94666667	lr:7.290000000000001e-05	seqs/sec:667.7	device: cuda:0
piece:1	epoch:10	loss:0.09490948	accuracy:0.94536667	lr:7.290000000000001e-05	seqs/sec:667.7	device: cuda:1
piece:1	epoch:11	loss:0.09481622	accuracy:0.94666667	lr:7.290000000000001e-05	seqs/sec:667.5	device: cuda:0
piece:1	epoch:11	loss:0.09490948	accuracy:0.94536667	lr:7.290000000000001e-05	seqs/sec:667.5	device: cuda:1
piece:1	epoch:12	loss:0.09490948	accuracy:0.94536667	lr:6.561000000000002e-05	seqs/sec:667.1	device: cuda:1
piece:1	epoch:12	loss:0.09481622	accuracy:0.94666667	lr:6.561000000000002e-05	seqs/sec:667.1	device: cuda:0
piece:1	epoch:13	loss:0.09481622	accuracy:0.94666667	lr:6.561000000000002e-05	seqs/sec:667.9	device: cuda:0
piece:1	epoch:13	loss:0.09490948	accuracy:0.94536667	lr:6.561000000000002e-05	seqs/sec:667.8	device: cuda:1
piece:1	epoch:14	loss:0.09481622	accuracy:0.94666667	lr:6.561000000000002e-05	seqs/sec:667.4	device: cuda:0
piece:1	epoch:14	loss:0.09490948	accuracy:0.94536667	lr:6.561000000000002e-05	seqs/sec:667.4	device: cuda:1
piece:1	epoch:15	loss:0.09481622	accuracy:0.94666667	lr:5.904900000000002e-05	seqs/sec:665.4	device: cuda:0
piece:1	epoch:15	loss:0.09490948	accuracy:0.94536667	lr:5.904900000000002e-05	seqs/sec:665.4	device: cuda:1
piece:1	epoch:16	loss:0.09490948	accuracy:0.94536667	lr:5.904900000000002e-05	seqs/sec:670.0	device: cuda:1
piece:1	epoch:16	loss:0.09481622	accuracy:0.94666667	lr:5.904900000000002e-05	seqs/sec:670.0	device: cuda:0
piece:1	epoch:17	loss:0.09490948	accuracy:0.94536667	lr:5.904900000000002e-05	seqs/sec:667.8	device: cuda:1
piece:1	epoch:17	loss:0.09481622	accuracy:0.94666667	lr:5.904900000000002e-05	seqs/sec:667.8	device: cuda:0
